id,content,style,resnet50,vit_b_16,clip_vit_b_32,clip_zero_shot
p4_d0_18,airplane,ship,ship,airplane,airplane,airplane
p4_d0_20,airplane,ship,airplane,airplane,airplane,airplane
p4_d0_21,airplane,ship,airplane,airplane,airplane,airplane
p4_d1_00,ship,airplane,ship,ship,ship,ship
p4_d1_01,ship,airplane,ship,airplane,airplane,ship
p4_d1_02,ship,airplane,ship,ship,ship,ship
p4_d1_03,ship,airplane,ship,ship,ship,ship
p4_d1_04,ship,airplane,ship,ship,ship,ship
p4_d1_05,ship,airplane,ship,ship,ship,ship
p4_d1_06,ship,airplane,ship,truck,truck,truck
p4_d1_07,ship,airplane,ship,ship,ship,ship
p4_d1_08,ship,airplane,ship,ship,ship,ship
p4_d1_09,ship,airplane,ship,ship,ship,ship
p4_d1_10,ship,airplane,ship,ship,ship,ship
p4_d1_11,ship,airplane,ship,ship,ship,ship
p4_d1_12,ship,airplane,ship,ship,ship,ship
p4_d1_13,ship,airplane,airplane,airplane,airplane,ship
p4_d1_14,ship,airplane,ship,ship,ship,ship
p4_d1_15,ship,airplane,ship,ship,ship,ship
p4_d1_16,ship,airplane,ship,airplane,ship,ship
p4_d1_17,ship,airplane,ship,ship,ship,ship
p4_d1_18,ship,airplane,ship,ship,ship,ship
p4_d1_19,ship,airplane,ship,airplane,airplane,ship
